PolicyInsuredPropertyAge,PolicyInsuredPropertyRoofAge,Avg. Corrected Incurred Indemnity
1,1,52000
2,2,9013.310714286
3,3,4549.639411765
3,1,5000
4,4,4861.597272727
5,5,3841.436
6,6,2079.211111111
7,7,11554.603333333
8,8,1883.333333333
9,9,10501.696923077
10,10,11355.935
10,1,22277.58
11,11,9156.35375
12,12,4649.347037037
12,11,65830.866666667
12,7,0
12,5,0
12,3,64560.64
12,1,26738.07
13,13,16300.586578947
13,12,22649.56
13,7,97789.66
13,6,0
13,3,10000
13,1,1483.455
14,14,14016.091911765
14,13,15710.836666667
14,10,1368.05
14,7,25000
14,4,0
14,3,0
14,2,5000
14,1,20394.96
15,15,22001.514477612
15,14,12640.738333333
15,11,5000
15,8,13235.545
15,7,5009
15,6,60000
15,4,0
15,3,0
15,2,19855.27
15,1,15993.94
16,16,16933.7
16,15,807221.405
16,14,0
16,11,21116.35
16,10,10009
16,9,0
16,7,13362.165
16,6,23763.225
16,5,7500
16,3,15814.6175
16,2,5032.72
16,1,49110.89
17,17,15800.3376
17,16,53737.275
17,14,10000
17,8,126788.9
17,7,10742.29
17,4,0
17,3,8532.83
17,1,34567.75
18,18,16221.765909091
18,17,2754.5
18,15,30508.045
18,14,51068.55
18,13,20611.26
18,8,129975.755
18,6,3411.05
18,4,0
18,3,0
18,2,0
19,19,18401.585789474
19,18,2500
19,17,0
19,14,5000
19,13,10827.69
19,8,0
19,7,58500
19,6,0
19,5,17714.37
19,4,8240.945
19,3,17461.53
19,2,0
19,1,42000
20,20,7163.588888889
20,19,12666.666666667
20,18,754.5
20,16,20009
20,14,0
20,11,18208.31
20,9,9094.243333333
20,7,10362.186666667
20,6,5000
20,5,5800
20,4,10000
20,2,10000
20,1,101089.96
21,21,11558.7205
21,19,0
21,17,21297.84
21,15,32121.64
21,13,12435.104
21,12,3437.05
21,11,0
21,10,113747.03
21,8,20926.496666667
21,7,62500
21,6,6254.1375
21,5,41854.385
21,4,16359.054285714
21,2,21301.053333333
22,22,8833.723846154
22,20,37452.33
22,17,7120.18
22,11,9808.485
22,9,7839.25
22,8,6558.563333333
22,7,0
22,6,4000
22,4,9908.576666667
22,3,11647.45
22,2,34141.085
22,1,10237.21
23,23,11563.586666667
23,22,20370.5875
23,17,0
23,16,67703.36
23,14,23390.38
23,13,61893.58
23,12,904.97
23,10,0
23,8,6659.17
23,6,12333.333333333
23,5,42821.25
23,3,2754.5
23,2,13277.69
23,1,13500
24,24,30501.057142857
24,15,29474.01
24,14,14019.44
24,13,21717.05
24,11,0
24,9,3777.71
24,8,26036.83
24,7,11317.464
24,6,4178.603333333
24,5,21561.23
24,4,9312.591428571
24,3,9980.52
24,2,22226.776666667
25,25,23472.202941176
25,23,4528.32
25,22,0
25,20,24569
25,18,6254.5
25,15,11658.78
25,14,12793.7475
25,12,4818.86
25,10,5000
25,8,58406.77
25,7,0
25,6,16951.24
25,5,27194.2625
25,4,4559.046666667
25,3,9680.758
25,2,60068.645
26,26,19773.703157895
26,25,10000
26,22,10000
26,20,53948.85
26,19,100
26,17,95400
26,16,0
26,15,2313.515
26,14,7846.753333333
26,13,70757.985
26,12,9501.965
26,11,47793.82
26,10,5000
26,9,44643.02
26,8,9327
26,7,152.455
26,6,3640.222
26,5,0
26,4,3722.908888889
26,3,0
26,2,18837.282
27,27,11073.34
27,26,96923.16
27,22,0
27,17,13469.22
27,15,11869.003333333
27,14,4611.321428571
27,13,0
27,12,3416.77
27,11,0
27,9,0
27,8,5411.838333333
27,7,0
27,6,10004.5
27,4,1679.83
27,3,23369.285
27,2,0
28,28,13760.2075
28,26,25202.253333333
28,25,57381.04
28,17,13181.19
28,15,25233.37
28,14,15777.276
28,13,23397.003333333
28,12,17656.33
28,11,3798.686666667
28,9,0
28,8,520
28,5,0
28,4,0
28,1,19735.12
29,29,5166.666666667
29,27,99711.62
29,21,6089.926666667
29,20,9829.34
29,19,0
29,17,4498.92
29,16,11348.11
29,15,16276.433333333
29,14,13065.937142857
29,13,9082.077142857
29,12,82539.24
29,11,5504.555
29,10,3581.155
29,9,36907.673333333
29,8,1501.83
29,7,3711.9025
29,5,0
29,4,21500
29,3,33.333333333
29,2,12379.5
30,30,17832.422857143
30,21,0
30,20,15583.87
30,18,28929.06
30,17,0
30,16,3559.873333333
30,15,5635.1275
30,14,2814.477777778
30,13,19532.75375
30,12,15328.73
30,11,4048.6775
30,10,2050.333333333
30,9,14408.42
30,8,38934.985
30,7,7542.9
30,6,2500
30,5,6800
30,4,7883.89
30,3,0
30,2,1934.02
30,1,7150.393333333
31,31,0
31,26,198536.71
31,24,36193.69
31,22,8823.19
31,21,5000
31,20,47464.27
31,19,34498.715
31,18,10028.8375
31,17,10323.23
31,16,2063.73
31,15,3671.263333333
31,14,9871.81
31,13,10498.47
31,12,13320
31,11,6265.158
31,10,0
31,9,3754.5
31,8,0
31,7,10299.905
31,6,11551.7625
31,5,0
31,4,17195.583333333
31,2,5004.5
32,32,40835.88
32,28,27880.82
32,21,43526.89
32,20,43850.79
32,19,67773.75
32,18,984.58
32,17,5544.79
32,16,2213.13
32,15,5453.414
32,14,14700.692142857
32,13,7824.301666667
32,12,76000
32,11,0
32,10,247500
32,9,5000
32,8,14354.19
32,7,11982.55
32,5,0
32,4,3937.2
32,2,9271.34
32,1,2250
33,33,2802.34
33,24,0
33,21,15153.503333333
33,20,32623.16
33,19,0
33,18,71256.42
33,17,4310.11
33,16,821.62
33,15,14029.630833333
33,14,6720.698888889
33,13,5908.874
33,12,46749.615
33,11,19701.44
33,9,5434.445
33,8,6629.98
33,5,157563.28
33,3,2643.333333333
33,2,18623.425
33,1,13002.34
34,34,0
34,23,40000
34,21,9592.04
34,20,11498.954
34,19,124078.6
34,18,24448.955
34,17,0
34,16,36986.775
34,15,23368.283333333
34,14,3760.268333333
34,13,3552.456
34,12,2523.91
34,11,13795.8
34,10,12156.733333333
34,9,0
34,8,17183.75
34,7,73924.9275
34,6,175000
34,4,9000
34,2,24522.166666667
34,1,0
35,35,9100.293333333
35,21,21119.085
35,20,10411.045
35,19,10000
35,18,8344.61
35,17,1665.0825
35,16,70642.63
35,15,33799.098571429
35,14,8935.087272727
35,13,47441.6075
35,12,59509.1275
35,11,8810.99
35,10,8010.25
35,9,0
35,8,0
35,7,104.14
35,6,0
35,4,7839.835
35,3,0
35,2,34755.845
35,1,2504.5
36,24,5648.48
36,20,3081.325
36,19,40577.1
36,18,24909.663333333
36,17,9571.623333333
36,16,6103.6875
36,15,19050.8425
36,14,79647.645
36,13,24080.775
36,12,9414.495
36,11,7761.925
36,10,57958.973333333
36,9,10000
36,8,9626.974444444
36,7,0
36,6,500
36,5,57988.15
36,4,1872.286666667
36,3,237283.41
36,2,30221.716666667
36,1,899.205
37,27,97500
37,25,0
37,24,0
37,21,9580.076
37,20,3267.4
37,19,8082.5475
37,18,16173.64
37,17,54731.93
37,16,2174.435
37,15,19221.035
37,13,5783.635
37,12,3094.116666667
37,11,10122.76
37,10,9685.74
37,9,0
37,8,0
37,6,27041.81
37,3,35000
37,2,3649.33
37,1,10000
38,21,6215.18
38,20,10066.92
38,18,34614.29
38,17,12170.4525
38,16,9573.611666667
38,15,3192.003333333
38,14,16814.045
38,13,3791.81
38,12,2223.6
38,11,10000
38,10,3055.5125
38,9,5000
38,8,24055.115
38,7,0
38,6,41529.525
38,4,143642.105
38,3,11239.345
38,2,684.23
38,1,1122.94
39,24,0
39,22,13823.686666667
39,21,6088.01
39,20,46723.08
39,19,3694.435
39,18,0
39,17,2221.9575
39,16,11416.28
39,15,7522.24
39,14,14772.114
39,13,13748.18
39,12,8296.515
39,10,17661.52
39,9,5000
39,8,3333.333333333
39,6,5017.666666667
39,5,1495.365
39,4,3158.38
39,3,8750
39,2,7853.96
40,40,42298.7
40,26,45000
40,24,26893.73
40,22,5000
40,21,5360.115
40,20,10155.032
40,19,0
40,18,13187.095
40,17,2500
40,15,5326.32
40,14,8931.48
40,13,16523.493333333
40,12,11454.878
40,11,4484.058333333
40,10,8748.62
40,9,12530.18
40,8,0
40,7,10000
40,6,7381.815
40,5,2983.796666667
40,4,8308.333333333
40,3,4494.425
40,2,48091.266666667
41,27,53813.38
41,25,19410.62
41,24,22548.79
41,23,81760.725
41,22,9929.54
41,18,43678.985
41,17,2098.245
41,16,1439.63
41,15,7834.442
41,14,14023.507142857
41,13,3425.509166667
41,12,39108.91
41,11,10645.643333333
41,10,0
41,9,75000
41,8,10426.156666667
41,7,57532.37
41,6,0
41,5,2772.435
41,4,9414.718333333
41,3,8848.42
41,2,1206.323333333
41,1,4728.806666667
42,22,7030.29
42,20,64929.22
42,19,1612.89
42,18,5000
42,17,1045.943333333
42,16,17163.475
42,15,3865.62
42,14,3191.915
42,13,6003.544
42,12,38289.485
42,11,23991.53
42,10,0
42,9,93180.905
42,8,13194.6
42,7,53795.35
42,6,0
42,5,10000
42,2,0
43,26,42833.693333333
43,25,1000
43,24,0
43,23,0
43,21,34717.766666667
43,19,26503.66
43,18,29653.56
43,15,61324.94
43,14,5123.471666667
43,13,14916.392
43,10,1562.875
43,9,0
43,8,18238.435
43,7,16651.25
43,6,20000
43,4,3814.17
43,3,20899.556666667
43,2,16362.08
44,27,1833.333333333
44,26,0
44,25,0
44,24,1095.646666667
44,20,9295.58
44,19,0
44,17,2905.79
44,15,5335.045
44,14,7991.836666667
44,13,17954.17
44,12,18866.02
44,11,13102.663333333
44,7,4980.71
44,6,2545.85
44,5,16211.155
44,4,95000
44,3,0
45,27,0
45,26,27057.613333333
45,24,3761.82
45,23,14175.24
45,21,10000
45,20,86356.92
45,16,0
45,14,0
45,13,52117.253333333
45,12,32569.116666667
45,11,10666.666666667
45,8,5679.106666667
45,7,34439.1
45,4,0
45,0,65921.12
46,26,66122.63
46,25,0
46,24,24037.55
46,23,18835.47
46,22,775.366666667
46,21,0
46,20,12068.016666667
46,19,5509
46,17,48554.116666667
46,16,63149.215
46,15,3666.666666667
46,14,1997.884
46,13,13264.2725
46,12,0
46,9,6287.956
46,8,4850.893333333
46,7,10000
46,6,18352.68
46,3,0
46,2,48543.685
46,1,17505.07
47,29,1000
47,22,24007.305
47,21,2631.93
47,20,52151
47,18,0
47,17,11873.672
47,16,31070.995
47,15,15159.7
47,14,8794.443333333
47,13,6743.697777778
47,12,886.224
47,11,23919.046666667
47,10,10575
47,9,4500.285
47,8,37636.288
47,7,5000
47,6,23087.505
47,5,0
47,3,26603.9
47,2,11583.966
48,26,53342.085
48,25,0
48,23,28389.09
48,21,10487.8
48,20,15890.508333333
48,19,4947.61
48,18,1286.11
48,17,166188.363333333
48,15,42469.735
48,14,25544.758
48,13,1176.75
48,12,11125.425
48,10,14708.046666667
48,9,299.41
48,8,50870.93
48,7,8964.52
48,6,100
48,5,5000
48,4,27537.5
48,2,0
48,1,60705.345
49,29,43978.83
49,25,22843.48
49,24,28026.87
49,21,2734.07
49,19,24992.234285714
49,17,9331
49,15,31060.09
49,14,7463.7175
49,12,14984.83
49,11,0
49,10,8000
49,9,0
49,8,20983.545
49,7,7761.63
49,6,4357.47
49,5,1667.28
49,4,0
49,2,0
49,1,9662.09
50,34,53000
50,28,0
50,26,0
50,25,0
50,21,6618.96
50,20,0
50,19,1841.29
50,17,5772.66
50,16,2271.1075
50,15,2504.5
50,14,6071.03375
50,13,37183.455
50,11,16097.77
50,10,0
50,9,5000
50,8,0
50,7,500
50,5,0
50,3,0
50,2,39617.68
51,31,33371.99
