PolicyInsuredPropertyAge,Avg. Corrected Incurred Indemnity
75,7436.82
74,9596.078333333
73,8189.062
72,8099.1625
71,27371.354705882
70,38369.528
69,8473.101785714
68,2102.754615385
67,10649.799714286
66,12185.885806452
65,7028.915405405
64,12417.42025
63,9496.0878
62,9216.461833333
61,11847.65
60,8781.225192308
59,9951.130338983
58,15452.447391304
57,6638.52828125
56,20539.266590909
55,17072.455
54,17149.436666667
53,12538.071764706
52,19481.705609756
51,7217.461803279
50,7908.7282
49,13333.347777778
48,24162.43015625
47,15600.591518987
46,18274.51546875
45,13588.746545455
44,8111.99
43,16636.674716981
42,20491.794464286
41,13192.864473684
40,10508.320520833
39,11722.500481928
38,13806.109864865
37,10806.817605634
36,18232.0128125
35,19923.376829268
34,24312.285147059
33,18062.276363636
32,16110.179342105
31,11453.240315789
30,9014.824318182
29,14883.036947368
28,20965.006111111
27,12258.620185185
26,16339.676521739
25,22243.53
24,21769.9636
23,19188.986129032
22,14225.533815789
21,23928.974333333
20,19868.820930233
19,22323.0045
18,19707.16
17,20797.307217391
16,29425.328114754
15,18135.377517730
14,24095.206888889
13,17584.797517730
12,18814.476590909
11,24845.644047619
10,14043.902307692
9,21124.236
8,21810.81
7,9704.758947368
6,4254.247222222
5,13320.669
4,8768.627142857
3,6504.820384615
2,7538.54
1,52243.374285714
